,Year,Location,Indicators,Products,UOM,Scalar factor,Value
0,2014,Canada,Total domestic supply,Total tourism expenditures,Dollars,millions,3654954.0
1,2014,Canada,Total domestic supply,Total tourism products,Dollars,millions,212829.4
2,2014,Canada,Total domestic supply,Total transportation,Dollars,millions,98108.0
3,2014,Canada,Total domestic supply,Passenger air transport,Dollars,millions,19961.5
4,2014,Canada,Total domestic supply,Passenger rail transport,Dollars,millions,309.6
5,2014,Canada,Total domestic supply,Passenger water transport,Dollars,millions,762.2
6,2014,Canada,Total domestic supply,"Interurban, charter and tour bus transport",Dollars,millions,2501.2
7,2014,Canada,Total domestic supply,Taxis,Dollars,millions,2486.0
8,2014,Canada,Total domestic supply,Vehicle rental,Dollars,millions,2964.7
9,2014,Canada,Total domestic supply,Vehicle repairs and parts,Dollars,millions,24213.4
10,2014,Canada,Total domestic supply,Vehicle fuel,Dollars,millions,44909.4
11,2014,Canada,Total domestic supply,Total accommodation,Dollars,millions,13569.2
12,2014,Canada,Total domestic supply,Hotels,Dollars,millions,10692.5
13,2014,Canada,Total domestic supply,Motels,Dollars,millions,933.2
14,2014,Canada,Total domestic supply,Camping,Dollars,millions,1087.9
15,2014,Canada,Total domestic supply,Other accommodation,Dollars,millions,855.6
16,2014,Canada,Total domestic supply,Total food and beverage services,Dollars,millions,67287.8
17,2014,Canada,Total domestic supply,Meals from accommodation,Dollars,millions,3397.5
18,2014,Canada,Total domestic supply,Meals from restaurants,Dollars,millions,50930.6
19,2014,Canada,Total domestic supply,Alcoholic beverages from accommodation,Dollars,millions,1746.9
20,2014,Canada,Total domestic supply,Alcoholic beverages from restaurants,Dollars,millions,7814.6
21,2014,Canada,Total domestic supply,Meals and alcoholic beverages from other tourism industries,Dollars,millions,3398.2
22,2014,Canada,Total domestic supply,Total other tourism products,Dollars,millions,33864.4
23,2014,Canada,Total domestic supply,Recreation and entertainment,Dollars,millions,24741.4
24,2014,Canada,Total domestic supply,Travel services,Dollars,millions,4343.0
25,2014,Canada,Total domestic supply,Convention fees,Dollars,millions,804.2
26,2014,Canada,Total domestic supply,Pre-trip expenses,Dollars,millions,3975.8
27,2014,Canada,Total domestic supply,Total other products,Dollars,millions,3442124.6
28,2014,Canada,Total domestic supply,Groceries,Dollars,millions,98402.0
29,2014,Canada,Total domestic supply,"Beer, wine, and liquor from stores",Dollars,millions,20390.1
30,2014,Canada,Total domestic supply,Urban transit and parking,Dollars,millions,4123.6
31,2014,Canada,Total domestic supply,Miscellaneous products,Dollars,millions,3319208.9
32,2014,Canada,Total demand,Total tourism expenditures,Dollars,millions,84580.6
33,2014,Canada,Total demand,Total tourism products,Dollars,millions,71058.8
34,2014,Canada,Total demand,Total transportation,Dollars,millions,32648.8
35,2014,Canada,Total demand,Passenger air transport,Dollars,millions,17051.1
36,2014,Canada,Total demand,Passenger rail transport,Dollars,millions,289.1
37,2014,Canada,Total demand,Passenger water transport,Dollars,millions,506.0
38,2014,Canada,Total demand,"Interurban, charter and tour bus transport",Dollars,millions,741.4
39,2014,Canada,Total demand,Taxis,Dollars,millions,462.7
40,2014,Canada,Total demand,Vehicle rental,Dollars,millions,1021.6
41,2014,Canada,Total demand,Vehicle repairs and parts,Dollars,millions,4412.5
42,2014,Canada,Total demand,Vehicle fuel,Dollars,millions,8164.4
43,2014,Canada,Total demand,Total accommodation,Dollars,millions,11786.0
44,2014,Canada,Total demand,Hotels,Dollars,millions,9336.1
45,2014,Canada,Total demand,Motels,Dollars,millions,753.9
46,2014,Canada,Total demand,Camping,Dollars,millions,964.5
47,2014,Canada,Total demand,Other accommodation,Dollars,millions,731.5
48,2014,Canada,Total demand,Total food and beverage services,Dollars,millions,12791.0
49,2014,Canada,Total demand,Meals from accommodation,Dollars,millions,640.6
50,2014,Canada,Total demand,Meals from restaurants,Dollars,millions,9595.8
51,2014,Canada,Total demand,Alcoholic beverages from accommodation,Dollars,millions,348.3
52,2014,Canada,Total demand,Alcoholic beverages from restaurants,Dollars,millions,1553.2
53,2014,Canada,Total demand,Meals and alcoholic beverages from other tourism industries,Dollars,millions,653.1
54,2014,Canada,Total demand,Total other tourism products,Dollars,millions,13833.0
55,2014,Canada,Total demand,Recreation and entertainment,Dollars,millions,4885.9
56,2014,Canada,Total demand,Travel services,Dollars,millions,4256.1
57,2014,Canada,Total demand,Convention fees,Dollars,millions,715.2
58,2014,Canada,Total demand,Pre-trip expenses,Dollars,millions,3975.8
59,2014,Canada,Total demand,Total other products,Dollars,millions,13521.8
60,2014,Canada,Total demand,Groceries,Dollars,millions,4519.5
